base_course,other_course,overall
ACCT301,INFO320,0.0588265152745853
ACCT301,ENGE331,0.058646738285593046
ACCT301,BIOL361,0.05842367629989875
ACCT301,PSYC354,0.05669037493288863
ACCT301,BUSI333,0.05396789336974363
ACCT301,MILT325,0.05392794794343772
ACCT301,MUSC306,0.05298128365136422
ACCT301,THEA344,0.05289084256936161
ACCT301,PSYC355,0.052542038481815455
ACCT301,BUSI334,0.052013560265404976
ACCT301,CSIS340,0.050944725478366516
ACCT301,INFO321,0.049392790691988334
ACCT302,ACCT301,0.24649347872444072
ACCT302,ACCT311,0.15472465276736935
ACCT302,ACCT370,0.11804506850378813
ACCT302,ACCT350,0.11086956723512595
ACCT302,ACCT340,0.11025837967422467
ACCT302,ACCT332,0.10937049080768191
ACCT302,GEOG373,0.10915253853217328
ACCT302,GEOG374,0.09126016672798973
ACCT302,CSIS341,0.09057396366071194
ACCT302,CSCN340,0.08479807987651497
ACCT302,BUSI320,0.0809408042413729
ACCT302,MUSC306,0.07072535526031341
ACCT302,BUSI305,0.06859536731251246
ACCT302,CSCN322,0.0637249563535239
ACCT302,ENGE331,0.06282130261454494
ACCT302,CSIS340,0.0620008592872414
ACCT302,BIOL361,0.06077106835381797
ACCT302,GOVT381,0.059683465021365914
ACCT302,BUSI333,0.058748437675489054
ACCT302,ENGI307,0.05686518034170572
ACCT302,BUSI334,0.056536928552571
ACCT302,MILT325,0.05639238369814217
ACCT302,BCOU350,0.054629210037612834
ACCT302,GOVT333,0.0514913192125874
ACCT302,INFO321,0.050319848737285275
ACCT311,ACCT302,0.15472465276736935
ACCT311,ACCT301,0.15465118851024745
ACCT311,ACCT340,0.13378413165160224
ACCT311,GEOG373,0.12869391515424808
ACCT311,ACCT350,0.10321869695325754
ACCT311,ACCT332,0.09708531699747851
ACCT311,BUSI305,0.08995414234357216
ACCT311,MUSC306,0.08900036728321303
ACCT311,BUSI320,0.08859747921093415
ACCT311,GEOG374,0.08836142963463808
ACCT311,ACCT370,0.08781744754176612
ACCT311,BIOL361,0.07804675308033497
ACCT311,FIRE370,0.07724537488562123
ACCT311,INFO305,0.07434805182173145
ACCT311,CSCN323,0.06985604731729592
ACCT311,BUSI371,0.06754873484446834
ACCT311,PSYC354,0.06717663198323802
ACCT311,CSIS341,0.0657970527165832
ACCT311,BUSI332,0.06515026780676891
ACCT311,GOVT381,0.06488035207133713
ACCT311,AVIA360,0.06432524615808845
ACCT311,HMGT305,0.06379517271671124
ACCT311,HIUS312,0.06291213358161492
ACCT311,AVIA305,0.061492381816732
ACCT311,BUSI333,0.0611710337606904
ACCT332,ACCT301,0.12871785733392765
ACCT332,ACCT302,0.10937049080768191
ACCT332,CSCN340,0.10457849607375952
ACCT332,INFO320,0.10178021245617205
ACCT332,ACCT370,0.10159853357561033
ACCT332,CSIS341,0.09722525425393314
ACCT332,ACCT311,0.09708531699747851
ACCT332,ACCT340,0.08186963086249893
ACCT332,CSIS340,0.07967263167564892
ACCT332,ACCT350,0.07521314630965434
ACCT332,INFO321,0.062244148369418745
ACCT332,BUSI336,0.060787676118969694
ACCT332,BUSI305,0.060495603397242526
ACCT332,AVIA314,0.060237370544536505
ACCT332,GEOG305,0.05818550199609093
ACCT332,MUSC306,0.057263542580181286
ACCT332,CSIS325,0.05637757349191641
ACCT332,CSIS343,0.05615866124582927
ACCT332,CSCN352,0.05387969893231194
ACCT332,CSIS352,0.05387969893231194
ACCT332,PLST350,0.05277253066108159
ACCT332,CJUS362,0.052268571170609485
ACCT332,BUSI300,0.052056016996515506
ACCT332,PADM360,0.051722800755496436
ACCT332,BUSI320,0.05096249342679393
ACCT340,ACCT350,0.22011292292636805
ACCT340,ACCT311,0.13378413165160224
ACCT340,ACCT301,0.1171561990523545
ACCT340,BCOU350,0.11159463077302188
ACCT340,ACCT302,0.11025837967422467
ACCT340,GOVT324,0.10487506328756518
ACCT340,PHIL380,0.09621135114460547
ACCT340,BUSI302,0.09450841335074633
ACCT340,GOVT325,0.08388981817301311
ACCT340,RLGN350,0.08354119830308668
ACCT340,ACCT332,0.08186963086249893
ACCT340,CJUS350,0.08088472489594817
ACCT340,CJUS324,0.07146442361020605
ACCT340,CJUS323,0.07080976774708458
ACCT340,BUSI301,0.06002263485215666
ACCT340,BIOL361,0.05800660900590977
ACCT340,BUSI332,0.051486275573995446
ACCT340,ENGL306,0.05045614884313466
ACCT340,PLST310,0.05017535875732025
ACCT340,ENGM350,0.04525612269911178
ACCT340,FACS355,0.04424622481072675
ACCT340,CSIS330,0.04407730381369064
ACCT340,ARTS365,0.04344497586746113
ACCT340,PSYC371,0.042885994587912445
ACCT340,CJUS369,0.04260812732351983
ACCT350,ACCT340,0.22011292292636805
ACCT350,BCOU350,0.15846818210247068
ACCT350,BIOL361,0.15392882568519825
ACCT350,EDUC306,0.12586806066104353
ACCT350,CINE353,0.12016970340111133
ACCT350,GOVT325,0.11725738691821458
ACCT350,GOVT324,0.11346155726619346
ACCT350,ACCT302,0.11086956723512595
ACCT350,ACCT311,0.10321869695325754
ACCT350,CINE354,0.10231102804080187
ACCT350,ACCT301,0.10200419039047602
ACCT350,CINE396,0.10130402334700521
ACCT350,BUSI302,0.10062413003362128
ACCT350,CJUS323,0.09509914744250769
ACCT350,PHIL380,0.09443593653344855
ACCT350,BUSI301,0.08933429801959886
ACCT350,ACCT370,0.08753096927018804
ACCT350,NURS305,0.0857348031511699
ACCT350,NURS306,0.0857348031511699
ACCT350,NURS355,0.08282669220654257
ACCT350,NURS357,0.08282669220654257
ACCT350,CJUS324,0.08003819368736283
ACCT350,NURS354,0.0780796237528056
ACCT350,NURS356,0.07695915644128054
ACCT350,ACCT332,0.07521314630965434
ACCT370,BUSI320,0.2602984586189444
ACCT370,BUSI321,0.19443134495174202
ACCT370,GEOG373,0.16336990005301344
ACCT370,ACCT301,0.13709583988142038
ACCT370,ACCT302,0.11804506850378813
ACCT370,MUSC306,0.10882561707259843
ACCT370,BIOL361,0.10546989980720418
ACCT370,INFO320,0.10252838795793558
ACCT370,GEOG374,0.10160473740694925
ACCT370,ACCT332,0.10159853357561033
ACCT370,FACS350,0.09157788123001162
ACCT370,ACCT311,0.08781744754176612
ACCT370,ACCT350,0.08753096927018804
ACCT370,BUSI323,0.08281763292983035
ACCT370,BUSI305,0.08257094209890141
ACCT370,GOVT381,0.08200536847550932
ACCT370,AVIA361,0.08038438833985273
ACCT370,BUSI352,0.07885534737236104
ACCT370,CSCN340,0.07361427014076927
ACCT370,ENGE351,0.06952987955957689
ACCT370,CSIS341,0.06485650746536463
ACCT370,INFO305,0.0636553931863553
ACCT370,CSCN322,0.06303162947530142
ACCT370,FIRE370,0.0625196682295063
ACCT370,AVIA305,0.061514593045678946
ACCT401,ACCT412,0.20365867142462935
ACCT401,ACCT402,0.14733018063147124
ACCT401,BUSI408,0.10716165855491304
ACCT401,ACCT403,0.10681940155562669
ACCT401,ACCT404,0.10650326418499612
ACCT401,CMUS462,0.09335775614935099
ACCT401,BUSI471,0.08506471413369916
ACCT401,BCOU450,0.08133577040461115
ACCT401,GRMN495,0.08005114237744736
